index,objectid,msoa11cd,geometry,MSOA,MSOA_with_supply
313,6619,E02006061,POINT (345416.9268580172 153749.6016937413),FALSE,FALSE
314,6616,E02006062,POINT (331424.1282440542 150843.1585114849),FALSE,FALSE
315,6617,E02006063,POINT (341496.0773789426 148893.1831105932),FALSE,FALSE
316,6614,E02006064,POINT (330780.0704813616 149330.2824344547),FALSE,FALSE
317,6615,E02006065,POINT (331636.8219620165 147789.6794238434),FALSE,FALSE
318,6705,E02006072,POINT (337744.2549072805 137327.3596191909),FALSE,FALSE
319,6702,E02006077,POINT (348465.1365278857 128690.8539393437),FALSE,FALSE
320,6708,E02006078,POINT (342708.6960415783 127299.4354450433),FALSE,FALSE
321,6565,E02006081,POINT (338283.4988199386 123858.1476981071),FALSE,FALSE
322,6182,E02006093,POINT (335490.1853859161 114623.0537052004),FALSE,FALSE
323,6788,E02006096,POINT (332829.3665147385 109219.8362627173),FALSE,FALSE
324,6178,E02006097,POINT (332214.4991014708 108494.1735717151),FALSE,FALSE
325,6187,E02006098,POINT (333562.6688820312 107136.6785758646),FALSE,FALSE
326,6300,E02006101,POINT (308398.5512934943 127655.953518635),FALSE,FALSE
327,6399,E02006112,POINT (324012.8910100566 122439.8730281835),FALSE,FALSE
328,6396,E02006117,POINT (292100.4755248976 133702.3278981993),FALSE,FALSE
329,3286,E02006131,POINT (410336.7554974355 339613.6308062815),FALSE,FALSE
330,3278,E02006132,POINT (408050.7004503727 334250.7407373354),FALSE,FALSE
331,3281,E02006133,POINT (409008.8645892419 333260.8597988978),FALSE,FALSE
332,2769,E02006210,POINT (406503.4483115114 353063.2583994588),FALSE,FALSE
333,2768,E02006213,POINT (402247.6222945721 345071.1523424732),FALSE,FALSE
334,2764,E02006216,POINT (401162.5129694423 340366.8700400779),FALSE,FALSE
335,3349,E02006239,POINT (571962.648568505 282320.1721354652),FALSE,FALSE
336,3618,E02006240,POINT (569482.4737897101 277337.1852261945),FALSE,FALSE
337,3859,E02006262,POINT (604664.9066208106 274301.7964993006),FALSE,FALSE
338,3860,E02006263,POINT (624244.8808821505 273558.2970529692),FALSE,FALSE
339,960,E02006283,POINT (570989.2957697257 248387.7119423919),FALSE,FALSE
340,959,E02006284,POINT (566681.9756475498 246103.3606809299),FALSE,FALSE
341,958,E02006285,POINT (565667.638123658 245856.6105287691),FALSE,FALSE
342,957,E02006286,POINT (567731.1268565897 245396.2027044537),FALSE,FALSE
343,3423,E02006291,POINT (628451.7362568182 251673.8054319787),FALSE,FALSE
344,3421,E02006293,POINT (634185.0083953752 251028.6227109049),FALSE,FALSE
345,3785,E02006314,POINT (634125.4536183006 288881.290037726),FALSE,FALSE
346,5491,E02006454,POINT (490391.385236052 133189.729638515),FALSE,FALSE
347,5492,E02006455,POINT (488617.0236006536 133000.0297055242),FALSE,FALSE
