msoa11cd,geometry
E02001699,POINT (428233.1973929512 560348.2995610095)
E02001698,POINT (420221.8588264385 560357.6936665013)
E02001806,POINT (440311.1002101026 556124.3821170188)
E02001807,POINT (431811.0771830016 556214.300273674)
E02001804,POINT (435766.8370327238 556453.0231156825)
E02001805,POINT (437466.9570273424 556226.9058749293)
E02001802,POINT (436850.4296242214 556781.6525627982)
E02001803,POINT (439315.5106119753 556636.1520444936)
E02001800,POINT (429667.5262828904 556968.1412270864)
E02001801,POINT (438203.147503795 556927.2892303957)
E02001808,POINT (438292.4286594479 556215.1936369976)
E02001809,POINT (430683.8978992403 555971.3673563865)
E02002546,POINT (443638.2859799832 519856.6104077102)
E02002547,POINT (442222.223156289 519527.8422839018)
E02002544,POINT (444758.0774301135 520893.1155883499)
E02002545,POINT (441351.6313165543 520121.4123846536)
E02002542,POINT (442971.4905817489 521468.6869698298)
E02002543,POINT (441908.5432347626 521114.2007244298)
E02002540,POINT (443839.1277551801 522328.1234717641)
E02002541,POINT (444497.4610660606 521742.6690760767)
E02002548,POINT (444135.5795187129 518543.4634759418)
E02002549,POINT (441417.1171558056 518746.0329432691)
E02001746,POINT (434566.274106985 571635.5541304538)
E02001747,POINT (435877.1285750966 571068.5965049289)
E02001744,POINT (432010.9283716738 571847.7626041776)
E02001745,POINT (427310.6264466437 571788.9786926602)
E02001742,POINT (433808.4348156802 572045.9687030251)
E02001743,POINT (435722.2351999395 571957.7508122297)
E02001740,POINT (434812.3816246879 572863.1690551093)
E02001741,POINT (423884.2227800311 572752.1933384212)
E02001748,POINT (431265.8861226511 570933.0444524069)
E02001749,POINT (428381.9417383771 570978.1414051792)
E02001816,POINT (437058.4326205738 553624.855865354)
E02001817,POINT (438485.2582560215 553231.0886867216)
E02001814,POINT (440485.9015701578 554661.6028624675)
E02001815,POINT (430184.9021827216 554190.009758885)
E02001812,POINT (439013.3675774968 555281.6512000033)
E02001813,POINT (437018.1289789922 554721.5034792678)
E02001810,POINT (429320.4268650751 555543.3579892629)
E02006812,POINT (453610.653541484 516759.4701965405)
E02006893,POINT (418819.2417291444 567258.1286145966)
E02001811,POINT (435764.2057661636 555280.3141808704)
E02006811,POINT (452744.5796808293 515223.383665637)
E02001818,POINT (440586.6176517152 553071.0315810324)
E02001819,POINT (436445.2174351829 552905.0805916006)
E02002556,POINT (444927.8434585871 513889.3249366364)
E02002557,POINT (443965.192259998 513769.5200259445)
E02002554,POINT (445710.5192668372 515391.0247031269)
E02002555,POINT (441884.8647906989 514285.0399934457)
E02002552,POINT (445905.5086890543 517067.1574659686)
E02002553,POINT (445430.5348873037 516357.3670365466)
E02002550,POINT (442936.2439501088 518315.7727371677)
E02002551,POINT (445373.8862690182 517816.3952144007)
E02002558,POINT (442241.813614747 511715.5051618939)
E02002559,POINT (427004.3756958274 517303.4601960676)
E02001756,POINT (426555.4557848256 568881.9106109182)
E02001757,POINT (434292.5482430325 568928.6307160755)
E02001754,POINT (435569.0311757784 569278.2067796985)
E02001755,POINT (428463.6172425065 569459.9468734703)
E02001752,POINT (433263.5548338811 569682.0512363905)
E02001753,POINT (436604.093170398 569444.077831907)
E02001750,POINT (434871.1814356806 570300.4138805331)
E02001751,POINT (427675.7384827802 570067.8764137939)
E02001758,POINT (431264.1784204493 568808.5164696366)
E02001759,POINT (435202.9080338358 568580.8870661036)
E02004297,POINT (417125.1721671198 556164.5021469801)
E02004296,POINT (424271.0348285557 547436.0045484826)
E02004295,POINT (430335.0140916649 550131.2160960673)
E02004294,POINT (426822.1344508113 550393.3503196448)
E02004293,POINT (426530.0794407483 551120.8591720584)
E02004292,POINT (427219.385341295 552364.0986505165)
E02004291,POINT (424984.9710342567 553128.0421678172)
E02004290,POINT (425483.7829506068 554512.264312788)
