index,Distance in meter,origin_id,destination_id
397,15465.9,E02002756,15308
398,2051,E02002756,15645
399,3189.5,E02002756,15987
400,1736.6,E02002756,16223
401,4522.5,E02002756,18398
402,3517.1,E02002756,19454
403,979.3,E02002756,20022
404,11659,E02002756,21054
405,4205.7,E02002757,350
406,4776.7,E02002757,369
407,3337.6,E02002757,2936
408,10069.6,E02002757,4149
409,2509.7,E02002757,4418
410,8480.9,E02002757,4834
411,14268.1,E02002757,4845
412,15319.9,E02002757,5058
413,2064.4,E02002757,5276
414,1499.3,E02002757,5497
415,4438.8,E02002757,5500
416,5482.4,E02002757,5503
417,1595.9,E02002757,5504
418,4602.2,E02002757,5506
419,15444.2,E02002757,5513
420,4469.8,E02002757,5520
421,5638.8,E02002757,6366
422,4207.2,E02002757,6463
423,2516.6,E02002757,6713
424,1981.5,E02002757,7930
425,4778.2,E02002757,8385
426,1022.7,E02002757,8561
427,1401,E02002757,8987
428,2495,E02002757,9074
429,1653.5,E02002757,10116
430,3910.1,E02002757,10172
431,12526.3,E02002757,10382
432,10069.6,E02002757,10504
433,1691.8,E02002757,10521
434,1595.9,E02002757,10707
435,2550.9,E02002757,11019
436,6182.4,E02002757,11121
437,13273.5,E02002757,11234
438,5631.9,E02002757,11442
439,1630.2,E02002757,12361
440,4035.8,E02002757,12420
441,1246.6,E02002757,12784
442,1624.8,E02002757,12837
443,6442.6,E02002757,13450
444,1618.3,E02002757,13659
445,2955.1,E02002757,14210
446,15245.7,E02002757,14238
447,2209.1,E02002757,14973
448,15945.6,E02002757,15013
449,14378.1,E02002757,15308
450,1181.3,E02002757,15645
451,1982.2,E02002757,15987
452,979.3,E02002757,16223
453,5325.1,E02002757,18398
454,2429.3,E02002757,19454
455,1781.9,E02002757,20022
456,12042,E02002757,21054
457,2556.2,E02002758,350
458,3127.2,E02002758,369
459,1688,E02002758,2936
460,10107.5,E02002758,4149
461,612.6,E02002758,4418
462,6831.4,E02002758,4834
463,12925.2,E02002758,5058
464,2372.7,E02002758,5276
465,1573.5,E02002758,5497
466,4788.3,E02002758,5500
467,3832.8,E02002758,5503
468,1640.6,E02002758,5504
469,2952.7,E02002758,5506
470,13049.4,E02002758,5513
471,2820.3,E02002758,5520
472,3989.3,E02002758,6366
473,2557.7,E02002758,6463
474,14804.2,E02002758,6504
475,2291.9,E02002758,6713
476,15531.4,E02002758,7902
477,2289.8,E02002758,7930
478,3128.7,E02002758,8385
479,2360.1,E02002758,8561
480,4265.7,E02002758,8987
481,1874.4,E02002758,9074
482,3846.8,E02002758,10116
483,3430.5,E02002758,10172
484,11296.4,E02002758,10382
485,10107.5,E02002758,10504
486,1342.7,E02002758,10521
487,1640.6,E02002758,10707
488,4744.2,E02002758,11019
