index,objectid,msoa11cd,point_lon,point_lat
314,6616,E02006062,-2.98399768,51.25261435
315,6617,E02006063,-2.839376826,51.23620672
316,6614,E02006064,-2.992931793,51.23893488
317,6615,E02006065,-2.98036662,51.22518748
318,6705,E02006072,-2.891102106,51.13182221
319,6702,E02006077,-2.736665131,51.05523572
320,6708,E02006078,-2.8185677,51.04217851
321,6565,E02006081,-2.881093159,51.01077821
322,6182,E02006093,-2.919263182,50.92743725
323,6788,E02006096,-2.956121796,50.87855197
324,6178,E02006097,-2.96472534,50.8719555
325,6187,E02006098,-2.945321249,50.85990678
326,6300,E02006101,-3.307940224,51.04093094
327,6399,E02006112,-3.084176393,50.99631584
328,6396,E02006117,-3.542131516,51.09244832
329,3286,E02006131,-1.847589497,52.95380204
330,3278,E02006132,-1.88174737,52.90563235
331,3281,E02006133,-1.867528519,52.89671902
332,2769,E02006210,-1.904380143,53.07476183
333,2768,E02006213,-1.967956232,53.0029539
334,2764,E02006216,-1.984141118,52.96066943
335,3349,E02006239,0.526873692,52.41185252
336,3618,E02006240,0.487927404,52.36787056
337,3859,E02006262,1.002133415,52.32862118
338,3860,E02006263,1.288492762,52.31430355
339,960,E02006283,0.495403811,52.107386
340,959,E02006284,0.431453191,52.08818066
341,958,E02006285,0.416542569,52.08626848
342,957,E02006286,0.446403886,52.08151204
343,3423,E02006291,1.335339637,52.11615621
344,3421,E02006293,1.418476821,52.10796974
345,3785,E02006314,1.443868062,52.44769015
346,5491,E02006454,-0.710684058,51.09090691
347,5492,E02006455,-0.73605988,51.08947809
348,3014,E02006513,-1.688691755,52.18664587
349,3011,E02006514,-1.720225297,52.18942658
350,3012,E02006515,-1.855794304,52.1673129
351,3009,E02006516,-1.504628553,52.15654996
352,3010,E02006517,-1.67315906,52.12020096
353,3017,E02006518,-1.624691143,52.05951872
354,5841,E02006561,-0.723698886,51.06350346
355,5836,E02006564,-0.743263446,50.98317162
356,5976,E02006573,-0.861031643,50.76914438
357,5973,E02006574,-0.785950888,50.73243507
358,6094,E02006644,-1.86398394,51.64212666
359,6095,E02006645,-2.101782505,51.59043511
360,6093,E02006647,-2.013695827,51.57347721
361,6102,E02006648,-2.163433527,51.55955988
362,6352,E02006651,-2.150628983,51.4983663
363,6349,E02006652,-2.123136888,51.46788534
364,6347,E02006654,-2.119971027,51.45708957
365,6668,E02006661,-1.810562964,51.19637925
366,6664,E02006665,-2.264063058,51.09032361
367,6740,E02006676,-2.082207581,51.05759039
368,2799,E02006710,-2.538817223,52.30456821
369,3178,E02006757,-2.028536695,52.1168493
370,3185,E02006758,-1.856047039,52.11052802
371,2946,E02006760,-1.909992359,52.10656848
372,2947,E02006761,-1.945100096,52.09408755
373,2944,E02006762,-1.959718319,52.0865206
374,2945,E02006763,-1.932731719,52.08794563
375,2942,E02006764,-1.943810606,52.08080571
376,2943,E02006765,-1.877830879,52.04412976
377,2940,E02006766,-2.097375146,52.04085946
378,6344,E02006781,-6.31175563,49.91569396
379,6413,E02006845,-2.906422454,51.35837393
380,6410,E02006846,-2.929575812,51.34797691
381,5000,E02006857,0.313121789,50.78636748
382,1484,E02006870,-0.786744499,54.13234084
383,5705,E02006880,1.167869976,51.07896543
