index,geometry,point_lon,point_lat
75,POINT (-0.1729470876543074 51.4909788887714),-0.172947088,51.49097889
76,POINT (-0.1752283876925613 51.42656298871857),-0.175228388,51.42656299
77,POINT (-0.1910218877468159 51.34344858865058),-0.191021888,51.34344859
78,POINT (-1.918136387907771 52.48463458965376),-1.918136388,52.48463459
79,POINT (-0.1429529876246044 51.52304458879824),-0.142952988,51.52304459
80,POINT (-1.942931287937069 52.45120538962315),-1.942931288,52.45120539
81,POINT (-0.1702363876846534 51.4369931887272),-0.170236388,51.43699319
82,POINT (-1.942931287937069 52.45120538962315),-1.942931288,52.45120539
83,POINT (-0.1702363876846534 51.4369931887272),-0.170236388,51.43699319
84,POINT (-1.594413987839072 52.28882898946644),-1.594413988,52.28882899
85,POINT (-1.476065887668318 52.51187488966902),-1.476065888,52.51187489
86,POINT (-0.1180422876285921 51.50034558877996),-0.118042288,51.50034559
87,POINT (-0.3243211877211913 51.47362888875482),-0.324321188,51.47362889
88,POINT (-1.19133528748277 52.60421878974762),-1.191335287,52.60421879
89,POINT (-2.706022488541501 52.0571679892706),-2.706022489,52.05716799
90,POINT (-2.181264188189187 52.19238108938759),-2.181264188,52.19238109
91,POINT (-0.0868236876154881 51.50319008878277),-0.086823688,51.50319009
92,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
93,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
94,POINT (-1.135565787445261 52.62555588976592),-1.135565787,52.62555589
95,POINT (-1.135565787445261 52.62555588976592),-1.135565787,52.62555589
96,POINT (-0.1361125876208505 51.52515378880008),-0.136112588,51.52515379
97,POINT (-0.6406481870643337 52.92100109002475),-0.640648187,52.92100109
98,POINT (-0.150223786914448 52.80182468990289),-0.150223787,52.80182469
99,POINT (-0.5194789868498179 53.23357109031061),-0.519478987,53.23357109
100,POINT (-0.5194789868498179 53.23357109031061),-0.519478987,53.23357109
101,POINT (-0.5194789868498179 53.23357109031061),-0.519478987,53.23357109
102,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
103,POINT (-0.8878584875334496 52.23528558940811),-0.887858488,52.23528559
104,POINT (-0.174255287639519 51.51734828879309),-0.174255288,51.51734829
105,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
106,POINT (-1.157021187272626 52.99045279010583),-1.157021187,52.99045279
107,POINT (-1.206701087222759 53.1419208902506),-1.206701087,53.14192089
108,POINT (-3.033590488358421 52.88446709007042),-3.033590488,52.88446709
109,POINT (-2.792694588291269 52.70897168989116),-2.792694588,52.70897169
110,POINT (-2.792694588291269 52.70897168989116),-2.792694588,52.70897169
111,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
112,POINT (-0.07434058754705859 51.61312188887349),-0.074340588,51.61312189
113,POINT (-0.1955908876164868 51.57103438883709),-0.195590888,51.57103439
114,POINT (-2.118698388006105 52.50231538967511),-2.118698388,52.50231539
115,POINT (-0.1314262876124972 51.53657408880954),-0.131426288,51.53657409
116,POINT (-2.094815187947374 52.59825368976486),-2.094815188,52.59825369
117,POINT (-1.99869918790299 52.58293058974787),-1.998699188,52.58293059
118,POINT (-0.176240087639722 51.51827468879382),-0.176240088,51.51827469
119,POINT (-1.634773286620222 55.00632899212366),-1.634773287,55.00632899
120,POINT (-1.634773286620222 55.00632899212366),-1.634773287,55.00632899
121,POINT (-2.957390387493354 54.89641149212031),-2.957390387,54.89641149
122,POINT (-1.347270886634138 54.58249679166992),-1.347270887,54.58249679
123,POINT (-1.467912986515717 55.02542189212884),-1.467912987,55.02542189
124,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
125,POINT (-0.1743486876392853 51.51781078879349),-0.174348688,51.51781079
126,POINT (-1.582189486617296 54.93857709204986),-1.582189487,54.93857709
127,POINT (-1.214582786575005 54.5511812916285),-1.214582787,54.55118129
128,POINT (-1.427770386515022 54.97140909207035),-1.427770387,54.97140909
129,POINT (-1.427770386515022 54.97140909207035),-1.427770387,54.97140909
130,POINT (-1.102235886768148 53.9877204910619),-1.102235887,53.98772049
131,POINT (-1.593422986597611 55.00260189211628),-1.593422987,55.00260189
132,POINT (-1.593422986597611 55.00260189211628),-1.593422987,55.00260189
133,POINT (-0.2002243877060353 51.4192734887122),-0.200224388,51.41927349
134,POINT (-1.517562386986743 53.99371049109297),-1.517562387,53.99371049
135,POINT (-0.3582798865209291 53.74422029078485),-0.358279887,53.74422029
136,POINT (-0.4463536865476935 53.7725953908165),-0.446353687,53.77259539
