,Distance in meter,origin_id,destination_id
399,19561,E02002707,21047
400,6214.1,E02002707,21383
401,14959.1,E02002707,21562
402,14180.5,E02002707,21762
403,14609.3,E02002709,351
404,18833.9,E02002709,794
405,1715.4,E02002709,804
406,14551.3,E02002709,810
407,16786.4,E02002709,812
408,16711.1,E02002709,816
409,17557.8,E02002709,930
410,23518.6,E02002709,1058
411,16355.1,E02002709,1059
412,16095.3,E02002709,1078
413,9055.6,E02002709,1081
414,16873.1,E02002709,2127
415,11395.6,E02002709,2278
416,10768.3,E02002709,2389
417,17491.5,E02002709,2402
418,38025.2,E02002709,4149
419,16309,E02002709,6712
420,16131.5,E02002709,9132
421,16348.9,E02002709,10178
422,38025.2,E02002709,10504
423,17563,E02002709,10700
424,1585.6,E02002709,10785
425,16131.5,E02002709,11475
426,15936.5,E02002709,12057
427,11931.2,E02002709,14087
428,18415.4,E02002709,14614
429,18415.4,E02002709,14636
430,16095.3,E02002709,16149
431,16262.6,E02002709,18427
432,16131.5,E02002709,18573
433,12622.5,E02002709,18909
434,16518.6,E02002709,18987
435,17178.4,E02002709,19535
436,15221.1,E02002709,21383
437,64592.9,E02002714,154
438,19996.3,E02002714,792
439,20011.2,E02002714,793
440,10280.3,E02002714,795
441,8674,E02002714,798
442,17580.6,E02002714,808
443,17430.6,E02002714,811
444,20029.8,E02002714,818
445,9305.3,E02002714,929
446,20363.2,E02002714,938
447,20042.3,E02002714,1060
448,19761.2,E02002714,1066
449,19512.7,E02002714,1082
450,20207.1,E02002714,2392
451,8573.9,E02002714,2396
452,10974.9,E02002714,2398
453,19206.2,E02002714,6928
454,18055.9,E02002714,7753
455,19770.7,E02002714,7805
456,16536.1,E02002714,8767
457,64592.9,E02002714,9853
458,19640.8,E02002714,10535
459,11104,E02002714,10614
460,11782.2,E02002714,10728
461,8914.6,E02002714,11686
462,17704.1,E02002714,11982
463,19664,E02002714,12235
464,17906.9,E02002714,12458
465,18170.9,E02002714,12505
466,17989.5,E02002714,13352
467,64616.6,E02002714,13638
468,19245.4,E02002714,13905
469,19598.4,E02002714,15405
470,17906.9,E02002714,18458
471,19537.3,E02002714,18500
472,11784,E02002714,19671
473,19948,E02002714,20839
474,14326.2,E02002720,804
475,5014.7,E02002720,812
476,4422.6,E02002720,816
477,17580.7,E02002720,930
478,5347.2,E02002720,1058
479,4487,E02002720,1059
480,4227.1,E02002720,1078
481,4592.7,E02002720,2278
482,5386.1,E02002720,2389
483,19179.6,E02002720,3567
484,19499.5,E02002720,4318
485,23505.1,E02002720,4845
486,19855,E02002720,6499
487,4440.8,E02002720,6712
488,20870.3,E02002720,8283
489,4263.3,E02002720,9132
490,19872.2,E02002720,9534
491,20189.6,E02002720,9535
492,20873.7,E02002720,9578
493,15078.4,E02002720,9877
494,4480.8,E02002720,10178
495,18534.2,E02002720,10402
496,18461.5,E02002720,10460
497,15076.8,E02002720,10655
498,17585.9,E02002720,10700
499,14456,E02002720,10785
500,20607.3,E02002720,10958
501,18530.1,E02002720,11119
502,4263.3,E02002720,11475
503,20607.3,E02002720,11497
504,20903.1,E02002720,11944
505,4068.3,E02002720,12057
506,19809.3,E02002720,13468
507,17441.1,E02002720,13595
508,20891.4,E02002720,14604
509,23395.1,E02002720,15308
510,19185.3,E02002720,15868
511,4227.1,E02002720,16149
512,19646.4,E02002720,16372
513,4394.4,E02002720,18427
514,4263.3,E02002720,18573
515,4103.8,E02002720,19535
516,20771.6,E02002720,19567
517,9716.8,E02002721,804
518,8885.1,E02002721,812
519,8809.8,E02002721,816
520,15619.6,E02002721,930
521,9582.6,E02002721,1058
522,8453.9,E02002721,1059
523,8194.1,E02002721,1078
524,3494.4,E02002721,2278
525,3425.1,E02002721,2389
526,22413.5,E02002721,3567
527,40253.9,E02002721,4845
528,8407.7,E02002721,6712
529,8230.3,E02002721,9132
530,18457.2,E02002721,9877
531,8447.7,E02002721,10178
532,21768.1,E02002721,10402
533,21695.4,E02002721,10460
534,18455.6,E02002721,10655
535,15624.8,E02002721,10700
536,9846.6,E02002721,10785
537,23841.2,E02002721,10958
538,21764,E02002721,11119
539,8230.3,E02002721,11475
540,23841.2,E02002721,11497
541,8035.3,E02002721,12057
542,17755.1,E02002721,13595
543,40363.9,E02002721,15308
544,22419.2,E02002721,15868
545,8194.1,E02002721,16149
546,8361.3,E02002721,18427
