index,geometry,point_lon,point_lat
220,POINT (0.3069464123099215 51.14833348850763),0.306946412,51.14833349
247,POINT (-0.3427634878272832 51.30194958861384),-0.342763488,51.30194959
256,POINT (-3.506553989630592 50.71629718806845),-3.50655399,50.71629719
257,POINT (-3.553908189769567 50.48232108786829),-3.55390819,50.48232109
258,POINT (-4.116407990124737 50.41669938780161),-4.11640799,50.41669939
259,POINT (-2.445998589069863 50.71260578808465),-2.445998589,50.71260579
265,POINT (-3.119649389272356 51.01196188832928),-3.119649389,51.01196189
272,POINT (-0.5191429875657507 51.88503748909972),-0.519142988,51.88503749
277,POINT (0.3429604130208746 52.33515658948402),0.342960413,52.33515659
278,POINT (0.1564637131347544 52.66520658977436),0.156463713,52.66520659
279,POINT (-0.2256219870804378 52.55118308967994),-0.225621987,52.55118309
282,POINT (0.1099480128655283 52.21414308938133),0.109948013,52.21414309
283,POINT (-0.241766587069344 52.58402238970947),-0.241766587,52.58402239
287,POINT (-0.1871539871833226 52.33406368948766),-0.187153987,52.33406369
295,POINT (-0.2598006872607321 52.24654638941182),-0.259800687,52.24654639
297,POINT (-0.02058598727749589 52.04870168923992),-0.020585987,52.04870169
304,POINT (-0.07973678744346664 51.7964867890262),-0.079736787,51.79648679
306,POINT (0.1924064127009079 51.87312688909218),0.192406413,51.87312689
319,POINT (1.148655113136986 52.06402298925689),1.148655113,52.06402299
320,POINT (1.02623861304558 51.97734028918496),1.026238613,51.97734029
324,POINT (1.170022113239544 52.22331048938797),1.170022113,52.22331049
326,POINT (1.491892113338443 52.2182425893854),1.491892113,52.21824259
327,POINT (1.222785813141604 52.03287628923217),1.222785813,52.03287629
333,POINT (0.6802402127836541 51.72873788897845),0.680240213,51.72873789
336,POINT (0.4560430127072972 51.72642078897344),0.456043013,51.72642079
339,POINT (0.6373753128107372 51.7976118890339),0.637375313,51.79761189
342,POINT (-0.7957942876155221 52.00638678920534),-0.795794288,52.00638679
343,POINT (-0.7254809875419903 52.08641278927509),-0.725480988,52.08641279
346,POINT (0.7482430132143461 52.42020028955407),0.748243013,52.42020029
347,POINT (0.981378013457372 52.70203808979323),0.981378013,52.70203809
352,POINT (0.8676180134959057 52.83934098991412),0.867618013,52.83934099
356,POINT (1.66583941346447 52.33657578948299),1.665839413,52.33657579
357,POINT (0.4982265133835408 52.87925518995692),0.498226513,52.87925519
358,POINT (1.213245813673223 52.94010788999514),1.213245814,52.94010789
360,POINT (1.342834513501751 52.57045518967746),1.342834514,52.57045519
362,POINT (1.417359413611704 52.71611378979994),1.417359414,52.71611379
365,POINT (1.150321412969856 51.78859798903423),1.150321413,51.78859799
366,POINT (0.9016331129626953 51.9063884891258),0.901633113,51.90638849
367,POINT (1.260802213093245 51.93399458915259),1.260802213,51.93399459
374,POINT (0.368322712531888 51.48213338877385),0.368322713,51.48213339
375,POINT (0.200475012720574 51.90205098911642),0.200475013,51.90205099
380,POINT (0.894088913148809 52.22289088938709),0.894088913,52.22289089
382,POINT (0.7524632129891744 52.03297958922859),0.752463213,52.03297959
389,POINT (-0.2773101874318905 51.95111988915653),-0.277310187,51.95111989
463,POINT (-0.1193985877419147 51.30733038862285),-0.119398588,51.30733039
502,POINT (-0.3019902877180652 51.46433278874751),-0.301990288,51.46433279
507,POINT (-1.73263048781407 52.47920098964448),-1.732630488,52.47920099
530,POINT (-1.272469787373629 52.90132149002595),-1.272469787,52.90132149
531,POINT (-1.672400187426406 53.21873759034263),-1.672400187,53.21873759
534,POINT (-1.215362587196154 53.20547439031129),-1.215362587,53.20547439
538,POINT (-1.403677687370646 53.04206999016321),-1.403677687,53.04206999
539,POINT (-1.489935587289165 53.30514099041815),-1.489935587,53.30514099
544,POINT (-2.162351888031897 52.4977787896719),-2.162351888,52.49777879
546,POINT (-0.8751213872574235 52.75384078987743),-0.875121387,52.75384079
549,POINT (-1.62696918759224 52.82158808996211),-1.626969188,52.82158809
554,POINT (-2.277043588167984 52.34344338952978),-2.277043588,52.34344339
